sample	sms	morph	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample_SMS119_6_L	SMS119	L	0.0786982	-0.0131278	0.0906507	0.0894462	0.00778454	-0.00159636	-0.00503713	-0.00613101	-0.0201793	0.00163988	0.012302	0.000494691	-0.0434196	-0.104531	-0.00314077	-0.00553293	-0.0235673	-0.00360076	0.162707	-0.0841712
sample_SMS119_7_S	SMS119	S	0.0806371	-0.00923005	0.0856523	0.0915574	0.0269573	-0.00128768	-0.0013353	-0.00376095	0.000849128	0.0355831	0.0114029	0.0142456	0.0489161	0.0930086	-0.0100767	0.0117509	-0.0317452	0.0705059	-0.0890668	0.148903
sample_SMS119_8_L	SMS119	L	0.0809991	-0.010094	0.0970344	0.0948056	0.0190548	-0.00764502	0.000264073	-0.00580947	-0.0173866	0.0158852	-0.0275101	-0.0404289	-0.0295198	0.0340975	0.0370855	-0.0521693	-0.00254838	0.0304041	-0.0388394	0.00801293
sample_SMS119_9_L	SMS119	L	0.0802623	-0.0149968	0.0927199	0.10142	0.0262405	-0.00655844	-0.00369135	-0.00862337	-0.0102728	-0.00972255	-0.0299534	-0.0459899	-0.0596096	-0.0920343	-0.0020849	-0.0193538	0.0290094	-0.00578704	-0.0539438	0.0238071
sample_SMS120_21_L	SMS120	L	0.0780452	0.00425295	-0.230305	0.125351	-0.0706313	0.0474988	-0.0173413	-0.0205894	-0.0757319	0.0295067	-0.029153	-0.0642346	-0.0592386	0.00275328	0.0468973	-0.143441	0.0575779	0.0600247	0.0274468	-0.0335728
sample_SMS120_22_L	SMS120	L	0.0774886	0.00716667	-0.20194	0.110239	-0.063801	0.0313291	-0.00843215	-0.0143759	0.00597261	0.0642547	0.0633771	0.0360478	-0.0336818	0.0708735	0.0733689	-0.264564	-0.0517723	0.430543	-0.0115375	-0.170922
sample_SMS120_23_S	SMS120	S	0.0768484	0.00766047	-0.219833	0.11974	-0.059585	0.0457126	-0.0156252	-0.0161994	-0.0824412	-0.0272888	0.0112043	0.0191349	0.0253933	-0.00533812	-0.0437908	0.0637096	-0.0272728	0.0252946	-0.0721218	-0.0950547
sample_SMS120_24_L	SMS120	L	0.0769394	0.00871916	-0.218069	0.105199	-0.0596425	0.0398586	-0.0122249	-0.0202569	-0.0541295	0.00748285	0.0539242	0.0435739	0.0167047	0.094791	0.00396036	-0.11614	-0.0949165	0.242755	-0.14744	-0.243326
sample_SMS120_25_S	SMS120	S	0.0756379	0.00441283	-0.256116	0.131013	-0.0776668	0.0547948	-0.0132736	-0.0305631	-0.0869995	-0.0223487	-0.0050068	-0.00392673	0.0155768	-0.0138892	-0.0132916	0.123559	0.0396633	-0.199754	0.0322984	0.0808284
sample_SMS120_26_S	SMS120	S	0.077804	0.00728398	-0.218418	0.103251	-0.0499096	0.0403398	-0.0128808	-0.000244128	-0.0299412	0.0304001	0.0632572	0.0679768	-0.00366052	0.00938296	-0.0317035	0.0394736	-0.0630909	0.0374253	0.013345	-0.0247789
