CHR	CHR	CHR	CHR	CHR	CHR
POS	POS	POS	POS	POS	POS
family_6	sample_SMS109_63_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_64_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_65_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_66_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_67_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_68_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_69_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_6_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_70_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_73_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_75_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_76_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_77_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_78_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_7_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_8_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_9_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_7	sample_SMS10_2S_206_S_replicate2	0	0	1	0
family_7	sample_SMS10_7L_209_L_replicate1	0	0	2	0
family_7	sample_SMS110_100_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_79_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_80_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_81_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_82_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_83_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_84_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_85_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_86_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_87_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_88_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_89_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_90_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_91_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_92_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_93_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_94_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_95_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
family_7	sample_SMS110_99_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_7L_209_L_replicate1	0	0
